,標題,分類,內文
78,[問卦] 電視台只剩一種聲音 是誰的錯?,Gossiping,"最近看到電視都只剩下一種聲音

沒人批評戒嚴

沒人說明這次財劃法優點

愈來愈像台版央視!!

持續洗腦 獨裁也真的不遠了。


是不是當年反中天時

大家沒有誓死捍衛別人說話的權利的錯?


現在台灣電視台只剩一種聲音

到底是誰的錯?

A. PTT鄉民

B. 文組

C. 林益全

"
79,[問卦] 聽說台中市之前只是省轄市？,Gossiping,"聽我朋友說
台中市以前只是省轄市
高雄市是直轄市
怎麼現在高雄人要淪落到跟台中人比高下了
而且還是比那種面子工程
台北人在旁邊看了笑到黑菇

"
80,[問卦] 花蓮人宜蘭人第一次喝50嵐時在想什麼？,Gossiping,"五十嵐在花蓮跟宜蘭是沒有分店的

就連外島澎湖都有開了

結果花蓮跟宜蘭沒有

這樣當地民眾要喝好喝的波霸奶要到外縣市耶

有沒有50嵐這個老品牌不到宜蘭花蓮的八卦

"
81,Re: [問卦] 為什麼美中俄不聯合起來 瓜分世界各國?,Gossiping,"這世界早就是美國的了
美國傻了才讓人分
你一堆國家互搞
美國就負責收錢
真的到處占領
美國還必須負責
美國不是智障
早就是經濟殖民的時代了
而美國本土夠大資源夠多
所以不會像英國一樣

"
82,[問卦]如果館長改變心意要跟統神拳賽 你支持嗎？,Gossiping,"原本統神說要跟館長打 結果館長不鳥他

心想反正這隻賴皮豬也只是耍嘴皮




結果經過昨天的比賽 驚為天人，統神脫胎換骨 完全玩真的，整場比賽基本上沒有冷場
大家一致好評

不僅贏了面子 流量也是爆棚


相信以館長這麼敏銳的網紅 應該也知道風向變了








大家都說不可能打贏館長

但現在的統神 什 麼 事 情 都 有 可 能！！！



搞不好館長還得硬扛統神好幾擊的反擊拳，一不小心可能還會噴牙套流鼻血



如果館長改變心意 要跟統神來一場真男人的對決，你支持嗎？








"
83,[問卦] 上海地鐵也跟上了 11號線撞吊塔,Gossiping,"https://i.imgur.com/yeoNddE.jpeg
上海地鐵11號線 跟上
吊塔撞地鐵
台灣遙遙領先 搖搖領先
無人傷亡。很中國....
地鐵捷運 事故率 比搭飛機還高啊

"
84,[問卦] 青鳥幹嘛不找塊地獨立要在那情勒全台灣,Gossiping,"各位八卦版鄉民們午安

這幾天看到一堆人在靠北說明明已經投對的人了為什麼還要上街頭

不然就是在說自己是在幫台灣人爭取民主在用行動抗中保台

用民主投票不論是政權還是立法權都沒有過半民意基礎

憑什麼說自己在代表台灣人

幹嘛他們不自己去找塊地獨立建國

反正南部那麼大啊，濁水溪沒有加蓋啊

宣布自己是台灣國唯一合法政府有自己獨立的行政立法財政司法系統

並且和北部的中華民國是敵對關係

何苦要在那情勒全台灣60%不支持他們的人

有八卦嗎

"
85,[問卦] 菜市場賣不完的菜都到哪去了,Gossiping,"
  剛剛去逛菜市場

  一堆幼女跑出來陪媽媽買菜好可愛

  禮拜天的菜應該都是禮拜六賣剩的

  禮拜一休市

  快收攤了菜還很多

  應該不會擺到禮拜二才又拿出來吧

  剩下的菜都到哪去了

  自己煮來吃嗎



  剛剛經過里長喜歡辦活動的公園大平台廣場

  怎麼是佛光山在慶祝佛陀成佛

  最近不是聖誕節的檔期嗎

  = =



  嗶卡~~



※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)

"
86,[問卦] 要當89有什麼條件啊,Gossiping,"目前我沒有紋身

大學畢業、做朝九晚五的工作

看的蹦闆打贏覺得89好威風、好團結

如果從今天起要改當89

該怎麼做才會讓人一眼就知道我是89

還是89的門檻是什麼

"
87,[新聞] 藍白3惡法毀台！賴清德「要用更大民主來,Gossiping,"藍白3惡法毀台！賴清德「要用更大民主來解決」　溫朗東曝綠營還有三招

三立 記者盧素梅／台北報導

立法院院會20日在朝野嚴重推擠衝突與舉手表決中，三讀通過《公職人員選舉罷免法》、《
憲法訴訟法》及《財政收支劃分法》等修正法案，政治評論員溫朗東指出，拒絕副署、憲法
法庭、2025年8月23日的公投，三招齊下，動員全民力量，一舉翻轉藍白毀憲亂政的局勢。

立法院藍白兩黨聯手於20日通過《選罷法」、《憲法訴訟法》、《財劃法》修正案三讀通過
。綠營方面，有人主張總統不公布，或是行政院長不副署此法律案等方法加以反制。依照憲
法第37條規定，「總統依法公布法律，發布命令，須經行政院院長之副署。」

溫朗東在臉書發文分析，賴清德總統發文最後一段提到：「民主的紛爭，要用更大的民主來
解決。這看起來不只是行政院長會拒絕副署藍白法案而已（因為拒絕副署後，藍白還是會釋
憲跑到憲法法庭，而我們不太會用「更大的民主」來形容憲法法庭。）

溫朗東進一步分析，也不太像是解散國會。（實務上必須先成立行政院長的不信任案，而這
需要國會過半同意，因此就算綠營主動提不信任案，也會被藍白聯手擋下。）

溫朗東認為，執政團隊已經做好發起公民投票的準備。賴清德過往親自出馬、破百場下鄉說
明的2021四公投戰，結局是奇蹟式的逆轉勝。拒絕副署、憲法法庭、2025年8月23號的公投
，三招齊下，動員全民力量，一舉翻轉藍白毀憲亂政的局勢。

https://bit.ly/3P8y8sx

"
88,Re: [新聞] 抵制傅崐萁！苦苓：只要他還活著絕不踏進,Gossiping,"我都幫他規劃好了！
白天坐輪椅遊玩拍照，
晚上回飯店後小三幫洗殘廢澡，床上啪帕啪啪整晚，隔天繼續坐輪椅遊玩，這樣算不算沒踏到花蓮的土地上





※ 引述《MikaHakkinen (丟人現眼過氣老人)》之銘言：
: 備註請放最後面 違者新聞文章刪除
: 1.媒體來源:
: 自由時報
: 2.記者署名:
: 郭顏慧／核稿編輯
: 3.完整新聞標題:
: 抵制傅崐萁！苦苓：只要他還活著絕不踏進花蓮半步
: 4.完整新聞內文:
: 作家苦苓抵制國民黨立院黨團總召傅崐萁。（資料照）
: 2024/12/21 15:16
: 〔即時新聞／綜合報導〕國民黨、民眾黨20日強硬表決通過「選罷法」、「憲法訴訟法」
: 及「財劃法」，作家苦苓對此發文抵制國民黨立院黨團總召傅崐萁，痛斥「只要傅崐萁活
: 著一天，我絕不踏進花蓮半步」。
: 苦苓20日深夜在臉書表示，自己除了不去花蓮之外，只要傅崐萁還活著也絕不購買任何花
: 蓮的產品，藉此「報答」花蓮縣民高票選出中國統戰部栽培的台灣立委。
: 許多網友也紛紛留言大喊支持，並且和苦苓做出一樣的聲明，有人相當不理解花蓮人怎麼
: 會選出更生人來當立委，其他人則高喊選出陳玉珍的金門、選出馬文君的南投也應該一併
: 抵制。
: 5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
: https://news.ltn.com.tw/news/politics/breakingnews/4900341
: 6.備註:
: ※ 一個人一天只能張貼一則新聞(以天為單位)，被刪或自刪也算額度內，超貼者水桶，
: 請注意
: ※ 備註請勿張貼三日內新聞(包含連結、標題等)


"
89,Re: [問卦] 新青安可以增貸嗎,Gossiping,"※ 引述《chopinmozart (aha)》之銘言：
: 目前台灣銀行還在縮銀根
: 很多房貸審核很嚴格
: 第二戶5成
: 所以想靠房子大量舉債難上加難
: 那問題來了
: 如果拿著政府保護的首購新青安族群
: 去跟銀行增貸
: 銀行會怎麼反應？

https://xn"
90,[問卦] 護理師第一年被罵哭是訓練的部分嗎,Gossiping,"
如題我肥城武

就我認識的幾個護理師

只要是畢業後在大醫院工作的

第一年都被罵哭過

這是不是訓練的一部分啊

為什麼學姊都那麼兇

"
91,[問卦] 悲報！無名地下樂團募款獲得一千萬,Gossiping,"日本不知道哪來的地下偶像

為了明年的生日祭要募款四百萬羊

結果發上募款網站 截止前就募到一千萬了

說沒錢都是騙人的

日本宅宅根本經濟支柱

有沒有日本人裝沒錢的卦

https://i.imgur.com/3xBuaDd.jpeg


"
92,Re: [問卦] 老人得皮蛇要吃藥多久?,Gossiping,"那個皮蛇的疫苗到底要不要打阿

聽說只有十年效期 那不就要打到死？

還是乾脆不要打省起來，讓皮蛇得一次就免疫這樣比較乾脆阿

有點想打可是好貴呢，要一兩萬塊 痛死我了

我很窮的 冤枉錢不太想花 窮死我了阿

※ 引述《sup5566 (舒跑烏溜溜)》之銘言：
: 如題..
: 阿罵得皮蛇，看了2次皮膚科。
: 一次開了4天藥
: 第二次開了7天藥。
: 都有自費買特效藥。
: 早跟晚擦藥膚，皮蛇已經變成很淡的粉紅紅斑了。
: 但是偶爾還是有幾天會喊痛。
: 明天要再帶去看醫生。
: 請問有得過皮蛇的城武們。
: 皮蛇大約要治療多久才會好啊？

"
93,[問卦] 有拳擊專業的人士出來分析到底誰贏了嗎,Gossiping,"
兩個裁判58:56 56:58看起來很接近

只有最後一個是55:59 賴皮豬只贏一個回合

跟我自己看的感覺差很多

我看主播賽評的當下分析

也覺得阿航前幾個回合佔優

有拳擊專業的人士出來分析到底誰贏了嗎？

"
94,Re: [新聞] 卓榮泰要地方自己面對天災　侯友宜：給民,Gossiping,"大家早午餐安

先說結論
先開源節流
試都沒試
就說將來天災
中央可能不出錢
那先不要領薪水跟退休金
(政務官滿兩年就有退休金)

不知道從何開始
各縣市開始
採買高價消防機器人
其實就是一個移動式砲塔
從去年到今年
行政院更是直接補助各縣市政府
11億的經費去採買這些東西
自以為的想像
這些消防機器人
可以進去火場打火
可以拯救人
然後我們消防人員不用進去
但以我個人的經驗
還有我學長們,教官們的經驗
這個消防機器人
它根本沒有這個成效
它的部署，不管是供水
或是人員搭配方面
都對不上他昂貴的售價
而且這些動輒千萬、百萬的移動式砲塔
他最常用的是什麼
演習作秀
我也有跟這種機器搭配作戰過
他在外面射水
我人還是在工廠裡面
踩著這些殘骸
因為工場鐵皮倒塌
機器人根本進不去
他也射不到裡面危險東西
所以到最後還是我們人員要進去
把最細節的地方處理掉
這樣子的機器人
為什麼可以花費這麼多錢
這個東西到頭來就知道政治作秀
在敷衍實質改革
用華而不實的硬體
捏造出消防人員很安全的假象
那這些學長們流的淚
消眷們流的淚
我們爭取到的經費
通通變成這些高官的玩物

你知道台灣到現在
還不是每個消防隊
都擁有美式消防梯嗎
老舊超過15年的車輛
都還沒辦法全面汰換
不合格的老舊消防駐地
到處都是

請問行政院這11億
到底是怎麼花的

資料出處
https://youtube.com/shorts/umOHpCeK4eg?si=Yey_H0akqC1O2a9e
https://i.imgur.com/Gs0jyfn.jpeg












"
95,[新聞] 來台當車手遭收押！ 馬國網紅自責「誤信,Gossiping,"來台當車手遭收押！ 馬國網紅自責「誤信朋友」：護照手機被扣只能服從

setn

程正邦

近日，馬來西亞網紅許振文（Ady Hu）在台失聯引發關注。經警方調查，許振文是來台擔
任詐騙集團的車手，目前已被彰化警方收押。許振文的哥哥19日從中國上海飛抵台灣，前
往彰化看守所探視弟弟。許振文在會見中坦言，自己愚蠢地聽信朋友的話來台工作，結果
護照和手機被強制沒收，只能依照指示行事。

此前，許振文抵台後與家人失聯，家人心急如焚，並在馬來西亞議員的陪同下召開尋人記
者會。事件曝光後數小時，馬來西亞媒體報導稱，許振文因擔任詐騙集團車手於12月11日
被捕。許振文的母親梁鳳英在得知兒子下落後，感謝各方協助，表示最重要的是兒子平安
無事。

據馬來西亞《東方日報》報導，曾協助許振文父母召開記者會的大馬議員李政賢指出，許
振文哥哥在中國大陸上海工作，得知許振文的下落後，已於19日飛抵台灣，並於20日前往
彰化看守所與許振文見面，「振文的情況是被允許探訪的，也計畫進行相關申請，讓振文
透過視訊與父母線上見面」。在探訪期間，許振文告訴哥哥，不知自己為何會這麼愚蠢，
誤信朋友飛往台灣工作。

目前，許振文在彰化看守所每日可會見1組人，他的胞兄如今留在台灣聘請律師，協助案
件處理。李政賢還表示，最近與大馬駐台北友誼與貿易中心官員討論案件時，得知另一位
來自馬來西亞文冬市的黎姓青年也在台灣因詐騙案被捕。黎姓青年的父親對兒子出國及被
捕一事毫不知情。

由於馬來西亞華人因免簽及語言相通，成為詐騙集團的主要目標。李政賢說，以前常聽到
馬來西亞人被騙到緬甸柬埔寨等地當豬仔，但目前被騙到台灣的大馬年輕華人也逐年增加
，他向大馬年輕人呼籲「天下沒有白吃的午餐」，千萬不要聽信在短時間可以獲得高酬勞
的工作，到海外工作也務必跟家人商量，以確保不是被詐騙集團所利用。

https://www.setn.com/News.aspx?NewsID=1582724


台灣已成後繼之星

"
96,Re: [問卦] 桃園區是不是已經屌打中壢區？,Gossiping,"中壢從清代開始就是交通要衝
精通要衝的特色就是油水多
油水來源就是特種行業如 貓仔間 賭場 等等
這種場所一多 黑道就橫行
開槍跟家常便飯一樣
發展得早 很難再更新 跟艋舺類似

不過還是有值得一逛的景點
夢巴黎一遊讓你回味無窮


"
97,[新聞] 南投3歲1歲小兄弟無人顧「爸去玩」　社工,Gossiping,"
南投3歲1歲小兄弟無人顧「爸去玩」　社工找離婚媽求援竟回：我已交男友

2024/12/22 09:28:00 記者陳佳鈴／南投報導 三立新聞網

https://attach.setn.com/newsimages/2023/03/31/4102825-PH.jpg
▲近日南投地院裁定一起延長安置案，揭發離譜父母的照護過程。（示意圖／翻攝
GoogleMap）

可憐的孩子，年紀小小竟遭父母遺棄！南投縣一對年僅3歲和1歲小兄弟與父親同住，但爸
爸卻多次把他們丟在家中，自己外出，南投縣政府接獲通報發現小兄弟的狀況不佳，想要
尋求生母照顧，沒想到得到的答案更令人心寒「已另交男友，要過自己的生活」，社工多
次與父母倆溝通，發現兩人親職功能不佳，向南投地院法官聲請延長安置小兄弟獲准。

小兄弟的爸爸7月中，將2個年幼兒子放在家裡，出門理髮、訪友。縣府社工到府勘查，但
父親表示家中仍有其他成員可以協助照顧，因此小兄弟可以繼續留在家中。未料社工事後
好幾次訪視，發現爸爸又把孩子獨自丟在家中，因此評估進行安置。

社工安置隔天聯絡媽媽，詢問她能否照顧小孩？得到的答案卻令社工傻眼。母親明確告知
「已經結交男友」，沒有工作，還說過去都在為別人活，現在要為自己著想，願意照顧孩
子，卻「要給新男友照顧」。因此南投縣府向地院申請延長安置。

這對小兄弟缺乏照顧因此有發展遲緩的現象，但父親也不在意，家中成員也無人應援。根
據《自由時報》報導，夫妻倆離婚後，約定由母親照顧小孩，但母親交了男友又想過自己
的生活，因此把孩子丟給前夫，但前夫也沒有責任感，導致兩兄弟常常獨自在家，生活無
大人照顧。法官曾致電生母也沒接電話，因此同意延長安置。

https://www.setn.com/News.aspx?NewsID=1582828

少子化 每個孩子都是寶 生育主力 呵呵

請問15年後走偏的機率是?

"
98,[問卦] 還是上一屆拳上比較好看吧,Gossiping,"沒那麼多垃圾事
阿唐靠實力贏，椅子願賭服輸
有流量有笑點有爽度
凡事只要沾到台灣89就是歹戲拖棚
沒梗又沒笑點
還是上一屆拳上比較好看吧
而且說白了就只是複製椅子的仇恨梗
繼續賺錢賺流量而已


"
99,[問卦] 沒有發明電腦遊戲是不是就可以蓋金字塔？,Gossiping,"最近看古代大型工程的紀錄片，發現大部分就是不愁吃穿的人蓋出一棟棟驚艷全世界的作
品，如果人類沒發明電腦遊戲、短影音，應該很多空閒時間不知道要幹嘛（除了生小孩）
，說不定人類就蓋更大的金字塔，或是更遠大的夢想，登陸到其他星球了XD

大家都是被短影音、電腦遊戲耽誤的發明家
C8 C8

"
100,[新聞] 統神：很多人打我頭！2黑衣人送辦　警已,Gossiping,"
統神：很多人打我頭！2黑衣人送辦　警已掌握其他動手者身分

ETtoday 張君豪

台灣知名網紅「亞洲統神」張嘉航21日與經營代購電商的網紅「蹦闆」相約、參加2024拳
上在台北小巨蛋舉辦的格鬥技擊比賽，比賽打完6回合，評審裁定雙方對打點數59：55判
定蹦闆略為領先獲勝；未料統神現場大喊不公質疑比賽主辦單位黑箱作業，賽後統神要進
入休息室受訪，在選手通道卻遭到蹦闆支持者開嗆並出手毆打，雙方爆發嚴重推擠，轄區
松山警方接獲統神經紀人報案到場處理，目前依涉嫌傷害、妨害秩序罪嫌帶回2名黑衣人
進行調查，並不排除有更多人涉案。

https://i.imgur.com/5LOrXfH.jpeg
▲統神張嘉航遭黑衣人圍毆向警方求助。（圖／記者黃克翔攝）


現場有網友拍下衝突過程，有黑衣人不斷朝統神包圍然後嗆聲怒飆髒話：「現在是怎樣」
、「X你娘勒！」期間有黑衣人朝統神頭臉輝拳，雙方爆發肢體衝突；松山警方證實在21
日晚間23時許接獲報案，但警方到場已無打架情事。統神向警方反映，「剛剛有很多人打
我頭啦！可是沒有證據啦。」

https://i.imgur.com/6GV0WPl.jpeg
▲拳上過磅記者會，亞洲統神與蹦闆賽前言語交鋒火藥味十足。（圖／記者湯興漢攝）

警方勘查發現選手通道到休息室這空間並無架設監視器，只能根據網友提供的衝突錄影畫
面，鎖定動手的黑衣人，並詢問統神、蹦闆雙方陣營及主辦單位，後來才釐清動手的是蹦
闆自費找來加油造勢的走路工，但初步排除動手衝突與蹦闆有關，純屬支持者認為統神輸
不起後的個人行為。

統神（36歲）及經紀人賴女（30歲）經警詢後，確定動手的是陳男（36歲）、李男（20歲
）兩人出手導致統神頭臉受傷，警方偵訊後將陳、李依涉嫌傷害、妨害秩序罪嫌移送法辦
；由於現場動手還有其他人，警方表示已掌握犯嫌身分，將會逐一約談到案。

警方呼籲，民眾如遇口角糾紛，應循正當途徑調解處理，切莫因一時衝動以暴力相向，警
方將依法處置絕不寬貸。

https://www.ettoday.net/news/20241222/2878384.htm

備註：

走路工真敬業

"
101,[問卦] 兩個直男有可能互肛嗎？,Gossiping,"我肥宅你各位好

互肛聽起來就很特別

一般直男應該不會肛人也不太可能被肛

那什麼狀況下會讓兩個直男互肛

有沒有卦？

"
102,Re: [新聞] 影／財劃法三讀 黃文益批無視高雄福祉,Gossiping,"※ 引述《scropio1190 (Reogoea)》之銘言：

: → EOMing: 半導體S廊帶的未來不容小覷                  42.78.247.14 12/22 12:24

20年前我就潑過 觀光 跟城市光廊的冷水了

現在再來潑你台GG的冷水

高雄有250萬人口  台積進駐

帶來的效應平均到高雄人口

大概就是每人加薪 3000吧

你一萬個 GG稀釋到80萬個工作人口 就是這樣一丁點

更何況高雄工業的薪水本來就被中鋼跟石化廠拉很高了

一堆傳產破百萬的地方

你會期待3000帶來怎樣的改變? 答案當然是沒有改變

而且還沒帶來獲利  光是房地產被炒高

高雄人已經明顯的感受到炒房的痛苦感

加薪3000 房價多一倍

加油喔~~~

以為GG會拯救高雄的高雄人  ㄎㄎ

"
103,Re: [問卦] 桃園區是不是已經屌打中壢區？,Gossiping,"我阿肥啦

這魯肥略懂略懂

魯肥以前待過中壢一陣子

桃園應該也算有 但不到半年


魯肥先說結論

兩個都是低端聚集地

找個週末晚上去晃晃

改管標配 交流道下來 隨便都能看到亂開車 亂貼車的

越晚越多

環中東路一路到桃園都是



魯肥剛開始騎車就是在那邊訓練的

回到別縣市根本沒那麼誇張


總之

兩個都是破地方

市容也髒亂

大概是這樣

嘻嘻


※ 引述《lauwei (lauwei)》之銘言
: 記得很久以前都是中壢屌打桃園區耶
: 中壢人根本不會自稱桃園人，會很驕傲說自己是中壢人
: 不過前幾天去桃園火車站附近，發現變化很大耶
: 百貨公司好幾家，影城，還有唐吉哥德，有點像台北信義區
: 未來的火車站超級豪華，還有捷運也在興建中
: 再看看中壢，雖然火車站也要重蓋，但站前那棟黑黑的建築超可怕
: 車站附近外勞真的比台灣人多，我都不太敢走小巷子
: 桃園區是不是真的屌打中壢區阿？



"
104,[新聞] 高雄男氣炸「狂揮開山刀」奔6百米　妻也,Gossiping,"1.媒體來源:TVBS

2.記者署名:記者 陳佳宜 報導

3.完整新聞標題:高雄男氣炸「狂揮開山刀」奔6百米　妻也嚇壞：像起乩了

4.完整新聞內文:

高雄市昨（21）日一名洪姓男子疑似因家庭糾紛與妻子發生衝突，激動之下竟突然抄出開
山刀當街狂揮，因事發當下鄰近新崛江，不少民眾前來參觀聖誕節活動，許多路人與男子
妻子見狀嚇壞，立即紛紛閃避。警方獲報到場後，洪男已逃離現場，事後員警在600公尺
外尋獲洪男，而開山刀則是被丟棄在防火巷內。洪男妻子事後驚恐表示，丈夫當時就像是
「起乩了」。訊問後，洪男被依《恐嚇罪》移送高雄地檢署偵辦。

據了解，昨（21）日晚間9時許，32歲洪男與溫姓妻子行經新興區的中山二路、青年二路
口時，兩人因家庭問題爆發激烈衝突。洪男氣憤之下竟從車上直接抄出一把開山刀，當街
亂揮作勢恐嚇妻子。不少民眾目擊後嚇得紛紛閃避、趕緊報警。洪男揮舞開山刀後就徒步
離開了現場，溫姓妻子餘悸猶存的表示，丈夫當時就像是起乩，讓她也嚇了好大一跳。

新興分局表示，五福二路派出所於昨（21）日晚間8時56分獲報，轄區有民眾疑似持刀，
員警於新興區林森一路找到洪男時已無持械，全案依恐嚇現行犯帶返所調查。經瞭解洪男
因家庭問題與溫姓妻子發生爭執，情緒激動從自小客車上拿出開山刀一把作勢恐嚇，隨即
徒步逃離現場。全案無人員受傷，警方也依《恐嚇罪》將洪男移送高雄地檢署偵辦。
 
《TVBS》提醒您：
◎拒絕暴力 請撥打110
◎反校園霸凌專線：1953
◎反職場霸凌專線：1955
◎法律扶助基金會：(02)412-8518
◎未經判決確定，應推定為無罪。

5.完整新聞連結:https://news.tvbs.com.tw/local/2726259 

6.備註:(′‧ω‧‵)a

"
105,[問卦] 等等要去支持李安,Gossiping,"李安執導的少年PI終於上映了

趁著今天週日 想去電影院支持一下李叔叔

等等去看需要準備什麼

會不會排很多人 卦？


"
106,[問卦] 終於知道為什麼8+9要群聚才會兇了,Gossiping,"

因為單人作戰能力根本超爛

幹架經驗那麼豐富

花了18分鐘放不倒一個手舉不起來的糖尿病胖子

而且還一直低頭龜縮

反觀賽後人一多 優勢就馬上出來了

8+9單兵作戰能力超爛

人多才敢打架其實有點道理的吧？


"
107,Re: [問卦] 高雄人到底要什麼？？？,Gossiping,"高雄人要的是

1. 高雄成為世界中心、邁向宇宙的港灣

2. 全世界科技最尖端的地方

3. 公民社會的指標，交通最發達最自由的世界中心

4. 殺光所有的北部人，尤其台北人

"
108,Re: [問卦] 沒有發明電腦遊戲是不是就可以蓋金字塔？,Gossiping,"
  沒有發明電腦遊戲的話

  人類的多巴胺會少一個廉價的空缺

  這時候人類就會去發明一些軟體

  這些軟體有個特色

  會有跟其他軟體相對醒目的介面

  有一定的流程要學習，但是  容易有正向回饋感的操作

  使用上可以讓人有沉迷其中的功能 三天三夜不睡覺

  大概是這樣的東西

  真是難以想像是甚麼樣的東西

  = =






※ 引述《au041l (老虎牙子)》之銘言：
: 最近看古代大型工程的紀錄片，發現大部分就是不愁吃穿的人蓋出一棟棟驚艷全世界的作
: 品，如果人類沒發明電腦遊戲、短影音，應該很多空閒時間不知道要幹嘛（除了生小孩）
: ，說不定人類就蓋更大的金字塔，或是更遠大的夢想，登陸到其他星球了XD
: 大家都是被短影音、電腦遊戲耽誤的發明家
: C8 C8

"
109,Re: [新聞] 川普轟巴拿馬運河敲竹槓！要求降低過,Gossiping,"※ 引述《Supergreen (Hi)》之銘言：
: 1.媒體來源:
: UDN
: 2.記者署名:
: 編譯盧思綸
: 3.完整新聞標題:
: 川普轟巴拿馬運河敲竹槓！要求降低過境運費 「否則歸還美國」
: 4.完整新聞內文:
: 彭博資訊報導，美國候任總統川普21日表示，巴拿馬運河對美國海軍和商船「敲竹槓」
，
: 並要求降低過境通行費用，否則巴拿馬應該將運河歸還給美國。

巴拿馬運河是美國修的，一直是美國控制的

不過最近一些年，巴拿馬自己也新修了
船閘，將原本的通過能力大大擴容，能通過
的船隻也更大了，新船閘是大陸貸款給巴
拿馬，並且由大陸企業去修的，修完後，
巴拿馬就同台灣斷交了。

但，最近幾年巴拿馬運河飽受缺水困擾，
因為上游降水不足，導致巴拿馬運河的
通過能力嚴重不足，排隊半個月才能通過
成為常態。

今年巴拿馬運河管理局想了新辦法，那就是
優先通過權競拍。花高價可以插隊通過，
不額外付錢就只能繼續排隊。

新的競拍機制實施後，巴拿馬運河的船隻
通過量大幅下降減少的情況下，巴拿馬運河
的盈利竟然跟往年差不多。

這種情況下，美國企業就深受其害了，相
當於價格漲了兩三倍，不願意交高價就只能
排隊等著，如果不斷有船願意交高價排隊，
那就只能繼續等。

"
110,[問卦] 老人得皮蛇要吃藥多久?,Gossiping,"
如題..

阿罵得皮蛇，看了2次皮膚科。

一次開了4天藥

第二次開了7天藥。

都有自費買特效藥。


早跟晚擦藥膚，皮蛇已經變成很淡的粉紅紅斑了。

但是偶爾還是有幾天會喊痛。

明天要再帶去看醫生。


請問有得過皮蛇的城武們。

皮蛇大約要治療多久才會好啊？






"
111,[問卦] 為什麼高雄人覺得北中在搶他的錢,Gossiping,"https://i.imgur.com/d3XDw4z.jpeg

吶吶

統籌分配款就是把大家繳的稅收集起來，攪一攪然後按照比例分回去而已。

現在只是修改一下分配比例讓窮鄉僻壤也能雨露均霑。

結果高雄就不高興了，講得好像這些錢原本該給高雄一樣，在那邊吠：中北部搶高雄的錢
其他縣市不能拿。

為什麼高雄覺得北中在搶他的錢？

卦

"
112,[問卦] 為何現代飛彈沒有敵我辨識系統？,Gossiping,"美國F18被自己人的飛彈擊落

台灣雄三演習時誤擊漁船

484代表現代的飛彈根本沒有敵我辨識系統

飛到目標區後就隨機攻擊

這樣戰爭時不是很危險嗎

有無八卦？

"
113,[問卦] 89幫老闆扛可以拿到啥？,Gossiping,"如題

如果一個89奉老闆的命做骯髒的事情

最後老闆切割89自己扛

這樣可以拿到什麼好處嗎？

是電影看太多還是現在風氣就是如此

有沒有八卦？
※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)

"
114,[問卦] 看到統神用扭頭洩力的時候有嚇到嗎,Gossiping,"這招之前只有在第一神拳
還有UFC裡面看過

如今竟然在統神這個電玩宅身上看到
實在太扯了

而且還用的很熟練
洩掉一堆拳


可惜對記點沒什麼幫助

對那種要打到KO的比較幫助


大家當時看到統神使出這種動漫才會出現的招式
有嚇一跳嗎

"
115,[問卦] 新青安可以增貸嗎,Gossiping,"目前台灣銀行還在縮銀根

很多房貸審核很嚴格

第二戶5成

所以想靠房子大量舉債難上加難

那問題來了

如果拿著政府保護的首購新青安族群

去跟銀行增貸

銀行會怎麼反應？

"
116,[問卦] 現在診所醫生是不是不太好賺,Gossiping,"早上去看耳鼻喉科診所
花了150掛號費和50部分負擔
拿藥之後看收據
除了我自付的200以外
診所竟然只能再跟健保申請70元
 https://i.imgur.com/V8SCZhJ.jpeg
等於一個病人診所只賺270
那診所開在大路上，房租至少五萬跑不掉
還要請一個護士一個藥師
每個月的成本就十萬以上
跟之前以為醫生出來開業很好賺的印象有點出入
有沒有現在當醫生似乎沒那麼好賺的八卦？


"
117,[問卦] F18被擊落,Gossiping,"
軍武版消息：

12月22日凌晨，
一架隸屬於CVN-75杜魯門號航空母艦的F/A-18F雙座型戰機，
在飛越紅海時被提康德羅加級巡洋艦CG-64蓋茨堡號誤擊而墜毀，
兩名飛行員都成功彈射並已獲救，其中一人受輕傷。

https://bit.ly/4gJhrQb


"
