,標題,分類,內文
1212,Re: [情報] 7-11咖啡優惠（無期限）,Lifeismoney,"※ 引述《loisen0525 (remember smile...)》之銘言：
: 小7咖啡優惠，無兌換期限，有興趣的請參考
: 自帶杯再省5元
: 拿鐵（大杯/無兌換期限）
: https://reurl.cc/8XZxry
: 美式（大杯/無兌換期限）
: https://reurl.cc/LlzKvL
: 精品拿鐵（大杯/無兌換期限）
: https://reurl.cc/13oM4p
: 精品美式（大杯/無兌換期限）
: https://reurl.cc/09xQz6

看原文有人需要無期限咖啡
但又不想買到100杯送40那麼多

大拿鐵15杯優惠605
1       https://reurl.cc/RelxKD
2       https://reurl.cc/2jkXME
3       https://reurl.cc/ey4qvb
4       https://reurl.cc/7dvO2y
5       https://reurl.cc/2jkX4E

大美式16杯優惠495
1       https://reurl.cc/KlnZ69
2       https://reurl.cc/E6MkKk
3       https://reurl.cc/RelA46
4       https://reurl.cc/34lG5j
5       https://reurl.cc/Mjxrk4

***精品單杯均價比100送45高，請斟酌***

大精品美18杯優惠1100
3       https://reurl.cc/adjQk3
5       https://reurl.cc/8XZQ37

大精品拿鐵18杯優惠1210
3       https://reurl.cc/RelArg
5       https://reurl.cc/DlQag6

"
1213,Re: [情報] momo irocks t07 plus + 耳機 領券特價,Lifeismoney,"※ 引述《light61010 (light)》之銘言：
: momo irocks t07 plus + a36 real 耳機
: 領券折後10000
: 應該是比海鮮店那搶不到的折價券還便宜
: 有好幾種賣場 一種是椅+耳機 另一種是只有椅子 還有一種是只能折1000的賣場
: 記得不要選錯
: https://i.imgur.com/WF4D6WY.jpeg
: https://i.imgur.com/OHfAnsT.jpeg

剛好最近在看椅子發現今天也有8折券，到今天為止，上次沒買到的可以下單，其他較多
人推的backbone, Mesh 3這張8折券也可以用

附上領券連結
https://www.momoshop.com.tw/edm/cmmedm.jsp?lpn=O4yrpnLZLE7&n=1
https://i.imgur.com/1nS9I62.jpeg

"
1214,[情報] 郵政數位存款帳戶嘉年華,Lifeismoney,"https://reurl.cc/yvbz72
中華郵政即日起開放7歲以上本國自然人每人得開立存簿儲金實體帳戶及數位存款帳戶各1戶
快來完成以下活動，可分別獲得精選好禮！
活動贈品額滿時將公告於本活動網頁。
 活動期間

112年12月21日至113年10月31日止。

  活動對象

從未於本公司申辦數位存款帳戶者，於活動期間內，首次完成數位存款帳戶開戶之儲戶。

  活動辦法    <本活動無須登錄，依客戶完成之時間訂定其回饋順序，恕不另行通知。>

活動期間內，首次申辦數位存款帳戶並完成開戶之儲戶，且完成下列任一指定條件，可分別
獲得精選好禮：

掃碼禮：家樂福購物金200元
(限前3,200名完成任務者)
登入行動郵局APP，完成設定連結購物帳號流程，並於台灣PAY或TWQR特店，透過行動郵局AP
P完成不限金額掃碼支付任2筆消費。
如係以「台灣行動支付」綁定「金融卡雲支付」掃碼支付者，恕不符合本次活動資格。

刷卡禮：家樂福購物金300元
(限前6,000名完成任務者)
以郵政VISA金融卡(含HCE手機VISA卡、
Google Pay等)，刷卡消費2筆，單筆金額均達600元(含)以上。

連結禮：7-ELEVEN 數位商品禮券50~500元
(贈品總份數：15,400份)
以任1家電子支付平台首次連結數位存款帳戶並完成不限金額儲值1次(含)以上，即可獲得
50元7-ELEVEN數位商品禮券，完成2家可獲得100元禮券，完成3家可獲得150元禮券，以此類
推，最高可獲得500元禮券，綁越多賺越多。

註：簡單說連結禮要首次綁定，之前實體綁過再解綁不行

連結禮注意事項
本公司目前連結郵政儲金帳戶付款合作之電子支付業者包含全支付、全盈支付、iPASS MONE
Y、街口支付、悠遊付、icash Pay、歐付寶、橘子支付、PChomePay支付連及玉山Wallet電
子支付共10家。
因「PCHomePay支付連」無儲值功能，須由數位存款帳戶完成不限金額1次(含)以上之扣款交
易，始符合「連結禮」資格。
"
1215,[情報] TPASS最新優惠,Lifeismoney,"看到這篇新聞https://www.ctee.com.tw/news/20241007700947-430503

覺得TPASS真的太誇張了
不僅可搭火車、捷運、輕軌、腳踏車
現在還可以租共享機車以下

快速分享新聞的重點給大家:
**TPASS加購WeMo PASS首月只要3折**
曾經使用悠遊卡購買「TPASS行政院通勤月票/基北北桃都會通」的用戶
享訂閱WeMo PASS首月3折（30元）優惠

訂閱WeMo PASS可享:
1.3趟20分鐘免費騎
2.每趟騎乘前3分鐘不計費
"
1216,Re: [情報] AVITA筆電紫(i5-1235U/8GB/512G/W11)9999,Lifeismoney,"上次PC家買了特價9990，第三天突然掛了就再也開不了機，就默默整理好打包退貨。

"
1217,〔情報〕Richart Life 會員日1點台新Point,Lifeismoney,"https://i.imgur.com/HvOnali.jpeg
https://i.imgur.com/Fy6zYB9.jpeg

"
1218,Re: [情報] 注意Ubereat結帳金額,Lifeismoney,"兼職過的來回覆一些問題..



看到好幾個外送員幫你送餐的
不是洗單  就是你的東西很多


581 沒付錢可以取餐嗎？
可以
回報你沒付錢就好


581不用拍照嗎？
可拍 可不拍
熊貓強制拍照 除非你現金付款


省錢點嘛…
有些人會故意點很遠很遠的外送
再跟客服靠腰  就能拿到補償了
反正很快就會被玩爛了

有故意騙客服沒收到的 吃免費
也有外送員搞小手段騙餐的
不過只是小數  大概1/10吧


大概是這個樣子


"
1219,[情報] 石頭掃拖機器人Q7 Max 5988,Lifeismoney,"
    Roborock 石頭科技 掃拖機器人Q7 Max(電控水箱/4200pa吸力/470ml集塵盒)

https://i.imgur.com/1r8pz2y.jpeg


MOMO特價
5988

【Roborock 石頭科技】掃拖機器人Q7 Max(電控水箱/4200pa吸力/470ml集塵盒)【5988元】

https://momo.dm/rZIVMu

信用卡可以再少一點
分享一下
"
1220,[情報] PHILIPS磁吸充電座送300元7-11商品卡,Lifeismoney,"如題
https://i.imgur.com/PT4gSzW.jpeg
飛利浦這台手機、手錶、耳機可同時充電
比價看到最便宜有快$1400
但送300元小七商品卡比較划算
https://reurl.cc/LlzXX9
需要可參考

"
1221,[情報] 蹦蛙村賣貨便全品項領券後5折,Lifeismoney,"統神大兒子晨晨生日 他的蹦蛙村有活動

賣貨便大特價(10/15~10/19)
https://i.imgur.com/fz4i9DM.png

賣貨便領券後打五折(上限兩萬)
https://i.imgur.com/nZ2ohTe.png

https://reurl.cc/1ba0DW

我是買了下圖三個

超大滑鼠墊之前買一塊還不錯半價真的划

衣服折價後211也佛

https://i.imgur.com/uXOMyfW.png

其他看起來值得買的有

一卡通(折後100)
其他衣服(折後兩百多)
大臉抱枕(折後232)

"
1222,[情報] ibon萬聖節活動(10/17又又追加咖啡),Lifeismoney,"最近發現ibon有個小遊戲
https://i.imgur.com/kqdA4GG.jpeg

意思就是要去不同間小七的ibon機台踩點掃QR Code(QR Code在首頁的右上角)，就可以得到
以下treats:

打卡1間門市：獲得行動電源第一小時租借0元序號，全台總量10萬組。
打卡3間門市：免費獲得鯊魚先生獨家款明信片1張，全台總量10萬張。
打卡5間門市：免費獲得CITY CAFE熱美式咖啡中杯1杯，全台總量1000組。

剛好最近參加每日跑5K的活動，附近小七還滿密集的，走一走就得到了咖啡。
解完任務的圖案滿可愛的，有萬聖節的fu。

用序號換咖啡時記得帶環保杯去，會再退5元喔！









"
1223,[情報] 瑞士On昂跑 Cloud 5 $3890,Lifeismoney,"
世界級超鐵三項冠軍打造的傳奇跑鞋
好穿舒適，版型偏小偏窄，
運動時包覆感穩定，

https://i.imgur.com/g1Bo3Sn.jpeg
https://i.imgur.com/TshE98s.jpeg

目前官網一雙$4580，各大平台大概落在$4100

https://i.imgur.com/cK0Yv1G.png

樂天目前$4090，還可以領$200折價券，現折下來$3890

https://reurl.cc/E6Nkgm

"
1224,[公告] 新板主上任 Tony0114,Lifeismoney,"         請 Tony0114 擔任 Lifeismoney 板板主。

           請詳閱 BM 板精華區之板主指令、編輯精華區應注意的法規，

         並請時常注意 BM 板、L_LifePlan板之公告，期能克盡板主之職責。


                                                             小組長 jasome

"
1225,[情報] 10/16漢堡王華堡餐 會員6折,Lifeismoney,"https://i.imgur.com/llBuo8J.jpeg

https://www.facebook.com/BurgerKingTW

10/16

華堡日會員6折

漢堡王會員綁定 LINE 好友
可立即從 LINE 領取專屬6折優惠券
新加入（10/14-10/16）臨櫃出示會員身份同享6折～

非會員9折

需於漢堡王官網點餐輸入優惠碼「LOVEBK」


備註:line領6張券 會員打6折
     華堡單層套餐107元 雙層套餐143元 三層套餐179元

"
1226,Re: [情報] MacBook Pro M2/24GB/1TB 只要$38900（官,Lifeismoney,"因為剛好最近隊友的電腦掛了，
我把手上的MBA M1先給她使用，
剛好昨天早上看到版友的分享也忍不住下單
而且早上訂下午就到了
真的有夠快…

開機以後的電池健康度是100%
但是原來的MacOS是灌Monterey
機身也有說是2022年製造的，
所以我懷疑這些貨源
應該是其他國家的整新庫存品，
也因為是2022年生產，
就當作庫存品在賣才會那麼便宜，
所以想買這台的版友
是還滿建議加保AppleCare+
畢竟已經是過了2年的機子了，
如果很介意的版友也建議別入手。

不過目前使用上沒有問題，
外觀也跟新機沒兩樣，
就再看看後續的使用狀況。

"
1227,[情報] 全家 細卷優惠券,Lifeismoney,"

細卷8折...
現在看還有5000張
需要的人請用
http://i.imgur.com/6yCTg9e.jpg

 全家app>優惠趣

"
1228,[情報] line points 1,Lifeismoney,"
加好友立即得1P
https://i.imgur.com/1vYBs81.jpeg
"
1229,"[情報] 29吋胖胖箱$1,279/20吋行李箱$888",Lifeismoney,"蝦皮行李箱活動
29吋胖胖箱折價券後$1,279
大尺寸胖胖箱來說，應該算便宜的
https://i.imgur.com/iOXSSkY.jpeg

也有一些登機箱$888

滿2千可以再用88折券
https://reurl.cc/lyjyxY

"
1230,[情報] Mybook 1元書 momo平台,Lifeismoney,"
書名：戀愛諮商師的分手課

領取連結：
https://momo.dm/3QFMMM

相信大家應該都很熟悉流程了

看起來現在一個月有兩本1元書可買

http://i.imgur.com/9SzeKX9.jpg

"
1231,[情報] 台新會員日 免費領取1點,Lifeismoney,"每月的16號會員日 不要忘記去領點數了
一樣Richart Life 首頁點進去就可以了

https://i.imgur.com/rvIovcq.jpeg
https://i.imgur.com/i0Kk3Dj.png
"
1232,[情報] 一風堂白丸元拉麵買一送一,Lifeismoney,"本人在台中新光一風堂，39週年創業祭10/16當日限定39組
要的快
https://i.imgur.com/WDJq8qC.jpeg


"
1233,[新聞] 明（14）日起汽、柴油價格各調降0.1元,Lifeismoney,"https://www.cpc.com.tw/News_Content.aspx?n=28&sms=8920&s=86755

平穩雙機制及調降貨物稅 汽、柴油各吸收4.0元及3.7元
明（14）日起汽、柴油價格各調降0.1元

刊登日期：113-10-13

    台灣中油公司自明（14）日凌晨零時起汽、柴油價格各調降0.1元，參考零售價格分
別為92無鉛汽油每公升28.9元、95無鉛汽油每公升30.4元、98無鉛汽油每公升32.4元、超
級柴油每公升27.4元。本週因平穩雙機制啟動，汽、柴油各吸收1.8元及2.1元。

    台灣中油表示，本週受中東地緣政治情勢仍緊繃影響，導致國際油價上漲。浮動油價
調整原則調價指標7D3B週均價上漲3.56美元，新臺幣兌美元匯率貶值0.356元，漲幅為
4.74%。按浮動油價機制調整原則，汽、柴油應調價格與本週參考零售價格相比，汽、柴
油應各調漲1.7元及2.0元，惟為維持價格低於亞洲鄰近國家(日、韓、港、星)，汽、柴油
各吸收1.6元及1.9元，吸收後95無鉛汽油超出30元，啟動油價平穩措施，第一階段吸收
25%調幅四捨五入，汽、柴油每公升各吸收0.2元。平穩雙機制啟動，汽、柴油各共吸收
1.8元及2.1元，國內汽、柴油實際每公升價格各調降0.1元。吸收金額如下表：

吸收金額／每公升  政府調降貨物稅  維持亞鄰國家最低價  平穩措施  合計

汽油              2.2             1.6                 0.2       4.0

柴油              1.6             1.9                 0.2       3.7

    本週依油價公式及政府調降貨物稅(汽、柴油每公升各共2元及1.5元)調整國內油價，
並持續以亞鄰國家最低價及平穩措施運作，協助穩定國內油價，汽、柴油各應調整1.8元
及2.1元均由台灣中油吸收，113年累計至9月底止，台灣中油共吸收約223.88億元。調價
後各式油品參考零售價格調幅及調整金額如附表，實際零售價格以各營業點公告為準。(
亞鄰油價資訊請參考全球資訊網https://www.cpc.com.tw產品與服務"
1234,Re: [情報] MacBook Pro M2/24GB/1TB 只要$38900（官,Lifeismoney,"小弟已經先買了 先附上購買證明
https://i.imgur.com/Kjpa2BC.jpeg
https://i.imgur.com/GSQQhzC.jpeg

其實還蠻不錯的

我一開始是買macbook air 15吋16/256

官網購買整新品是41600

在14天內發現這台 雖然螢幕小了一點

但是基本上都是外接所以沒有影響

差別最大的是風扇還有 硬碟

記憶體的話一半使用16/24我用起來沒有什麼差

但是mba打lol大概打2個小時會感覺很熱

換這台非常的舒服 硬碟也非常大

至於保固的部分 就是開機開始算

包裝跟我在官網買的整新機基本上一摸一樣

甚至官網也有賣同規格的這台

我去問也是可以保applecare

電池健康度也是100

Touchbar我其實覺得沒有很難用 剪片的時候

非常的好用 甚至比f1那種快捷鍵好用

而且搭配mo幣回饋還有信用卡回饋真的是香到不行QQ


"
1235,[情報] 全家 10/16~10/20 限時優惠+5康康,Lifeismoney,"【活動名稱】：會員限時優惠

【便利商店/廠商名稱】：全家

【活動時間】：2024/10/16~2024/10/20

【活動內容】：
https://i.imgur.com/JHRp9mQ.jpeg
https://i.imgur.com/Z2Sc9wx.jpeg
https://i.imgur.com/G44l5LM.jpeg
https://i.imgur.com/wm7qqr5.jpeg
https://i.imgur.com/7jh3wrB.jpeg
https://i.imgur.com/HkLmuPZ.jpeg
https://i.imgur.com/xalxBlI.jpeg
https://i.imgur.com/o8f8deK.jpeg
https://i.imgur.com/cq3jceE.jpeg
https://i.imgur.com/ubaOXHL.jpeg


-


【活動名稱】：5康康

【便利商店/廠商名稱】：全家

【活動時間】：2024/10/18~2024/10/20

【活動內容】：
https://i.imgur.com/HoOLeP1.jpeg
https://i.imgur.com/LuisEvb.jpeg
https://i.imgur.com/50fO7P7.jpeg
https://i.imgur.com/1etwXBb.jpeg
https://i.imgur.com/fIF7KUq.jpeg
【未滿十八歲禁止飲酒】
【飲酒過量，害人害己】
【酒後不開車，安全有保障】

"
1236,[情報] 台塑週六 OPEN POINT 會員日 ,Lifeismoney,"https://i.imgur.com/ancrXNg.png

版上有台塑綁 APP 加油回饋

這個活動之前就有了

本來到 9/30 現在延長到 12/31

禮拜六加油用台塑加油聯名卡刷

結帳用 openpoint 條碼賺點數很划算

在統一企業旗下消費很多都可以用 openpoint 點數折抵


"
1237,[情報] 花蓮海洋公園2折入園，到11/30,Lifeismoney,"2折，史上最低價，也應該不會有第二次，有人要衝了嗎？家裡人多的，可以用這個優惠全
家出遊，省下可觀的8成門票錢。本人還沒去過，好玩嗎？

（以下節錄自官網）

海洋公園二折開跑

活動即日起至觀光署經費用罄為止

至指定網站預約，享原票價""2折""入園

  立即預約

【活動說明】

  優惠內容
活動即日起至觀光署經費用罄為止，前往遠雄海洋公園，提前至活動網站上線上預約，即可
獲得2折優惠購票QRCode憑證。
指定前往日當天，現場持行動裝置出示QRCode(截圖亦可)，可於樂園現場購票享2折優惠！

  申請方式
活動期間每天開放線上預約當日+ 14天內的樂園營業時段，預訂完成立即取得QR Code 憑證
（單筆可預約最大張數為10張）。

*團體不適用
*相關活動辦法依觀光署公告為主



  立即預約

  瞭解更多
活動期間每日8：30~17：30可撥打交通部觀光署免付費諮詢熱線0800-211734或洽詢遠雄海
洋公園客服專線03-8123199
https://event.welcometw.com/themepark-2024/



"
1238,Re: [情報] 高雄市推聯合海葬費用全免(談器捐),Lifeismoney,"推 gvmlve: 如果 捐大體，會怎樣的安排呢 27.247.102.117 10/10 17:31
→ gvmlve: 謝謝 27.247.102.117 10/10 17:31
推 pda2001: 想了解器官捐贈或大體老師 有沒有機會更 49.216.135.230 10/10 22:58
→ pda2001: 省 49.216.135.230 10/10 22:58
推 pda2001: 看起來大體老師更省 還有學校供奉選擇 49.216.135.230 10/11 03:12
→ pda2001: 算是對醫學做功德 儀式感也有 49.216.135.230 10/11 03:12
推 pda2001: 還有機會讓治喪家屬得到回饋 省錢點算贏 49.216.135.230 10/11 03:16
→ pda2001: 了 49.216.135.230 10/11 03:16

兩年前我曾經在網路上寫過一篇大逆不道的文章，
算是從「利」的角度談器官捐贈，
本來想發到站上，但當時思考過後沒這麼做，
今天看到這篇的回覆，
把那篇文章的內容歸納一下，
說明器官捐贈能讓家屬省到什麼。

如果想看原文可以看這一篇：為什麼你該選擇器官捐贈？從為家人的角度出發
原始圖檔、照片、地方政府文案資料那些就不轉過來了
https://northernstar-aquarium.blogspot.com/2022/09/blog-post_28.html?m=0
省錢版的這篇文我會大幅修改內容，
以類似條列式的方式呈現，刪去原文中情感部分。

大體老師的部分我不太清楚，
這篇針對器官捐贈，提到的內容主要依據自己家人在2021年新北市器官捐贈後的經歷。

以下分點敘述器官捐贈能省到哪些：

（一）喪葬補助費

雖然名目是喪葬補助費，但其實是依據捐贈器官的數量，
因為獲捐贈的醫院會各給一筆，
意即，假設捐了兩個器官，有兩個不同的獲贈人，則有兩個獲捐贈的醫院，
就有兩筆喪葬補助（五萬＊2）
再加上衛福部會有一筆。

一個人若非因癌症等疾病，而是猝死，
能捐贈的器官可達13項。

（二）醫院醫療減免

部分醫院針對器官捐贈者的醫療費用會有抵免，
例如住安寧病房或在最後一段時間使用自費項目這類。
亞東醫院當時是20萬療減免。

（三）社工師專門服務

主要提供從「醫院」到「殯儀館」這段所需，
包含提供暫時的休息室、遺體運送以及各種資訊提供。

（四）後事費用

從前面文章大家提到最貴的"
1239,[情報] MOMO麥當勞豬肉滿福堡加蛋+薯餅59,Lifeismoney,"今天10/14 09:00 momo麥當勞 豬肉滿福堡加蛋 + 薯餅 (59元)

【麥當勞】豬肉滿福堡加蛋+薯餅(好禮即享券)【59元】

 https://momo.dm/bFuuAj

"
1240,[情報] 可樂纖維+ 600mlX48 690,Lifeismoney,"
可口可樂 【Coca-Cola 】纖維+寶特瓶 600ml(24入X2箱)(無糖)

720元送30p幣
一瓶不到15元
我自己是喜歡這種勝過於一般可樂
但也很多人說這個很難喝

https://i.imgur.com/uw4hVQe.jpeg

https://24h.pchome.com.tw/prod/DBAB12-1900FFPF9
"
1241,"[情報] Sony真無線 史低1,490",Lifeismoney,"剛看到Sony官網開活動，

最近在找便宜耳機要戴去運動，

有在觀察這隻，
之前最低都大概1700附近

現在直接1490

應該是Sony目前最便宜的真無線

推衝！

https://store.sony.com.tw/product/WF-C500
https://i.imgur.com/VFtulcB.jpeg

"
1242,Re: [情報] MacBook Pro M2/24GB/1TB 只要$38900（官,Lifeismoney,"小弟也買了，我覺得這個價錢能買到M2的晶片還24G+1T其實蠻划算的。
我們也知道這一款型號的Touch Bar很容易壞
所以乾脆就幫她買了Apple care
希望可以撐三年
到時候再幫她換殼，然後在二手賣掉
https://i.imgur.com/vThYeUQ.jpeg
"
1243,[情報]  UA品牌日 跑鞋限時均一價$945起,Lifeismoney,"UA品牌日有發一張$500折價券
https://reurl.cc/Yq5b40
這張券大部分鞋款都可以折 最高折抵商品金額15%
https://reurl.cc/DlM7KE
最便宜的鞋款折後不到1K

https://i.imgur.com/QwBlXSp.jpeg
折後$945
https://reurl.cc/zDGLqy
https://i.imgur.com/K4lCFLO.jpeg
折後$1105
https://reurl.cc/5dLQKv
https://i.imgur.com/J0U2RG3.jpeg
折後$1200
https://reurl.cc/jy429p
https://i.imgur.com/hFDB5BX.jpeg
折後$1285
https://reurl.cc/GpqvNZ
https://i.imgur.com/eSKk5Lz.jpeg
折後$1285
https://reurl.cc/zDGL56
https://i.imgur.com/5pNCuAd.jpeg
折後$1285
https://reurl.cc/bYbgmM

"
1244,[討論] 柴油加油的優惠討論,Lifeismoney,"目前柴油的優惠明顯比汽油少，現在主要是以下操作：
1.車麻吉（永豐大戶7%）+中油直營
2.速邁樂（先買開心卡大概回饋op10%）
3.永豐sport+gpay=7%
請問還有其他更優惠的選項嗎

"
1245,[情報] 蝦皮 mr. donut20個390元,Lifeismoney,"https://i.imgur.com/lWGN6Hh.jpeg

使用期限到11/30
沒用到可退款
可折抵蝦幣
"
1246,[情報] 美聯社 義美肉鬆$99,Lifeismoney,"只到明天10/15 竟然今天才看到
DM也沒寫
同樣規格家樂福要200多
https://i.imgur.com/YY4aUWH.jpeg


"
1247,[情報] 注意Ubereat結帳金額,Lifeismoney,"為了使用優惠碼，都用現金結帳，也出事了!
明明現金付款了，卻被系統再次要求付款，不知道是不是外送員的問題，一週沒訂餐，今天
才發現，有夠莫名奇妙，現金結帳沒給錢，外送員能給餐嗎？
Ubereat問題真的有夠多的，爛透了
https://i.imgur.com/iU2vope.jpeg


"
1248,[情報] 福勝亭週年慶$169 ,Lifeismoney,"路過門市外面看到的
福勝亭週年慶10.16-10.27

開運豬排定食.黃金魚排定食.鮮嫩炸雞柳定食
三款定食特價$169

https://i.imgur.com/JDgFM4G.jpeg

"
1249,[情報] iherb魚油,Lifeismoney,"https://i.imgur.com/UcJZt2R.jpeg
最近很常特價這個  6.5/顆  雖然不如兩個月前的30顆瓶

另外pc 筆電上次一堆人留言的 也又特價了
https://i.imgur.com/exw9hCj.jpeg
"
1250,[情報] AVITA筆電紫(i5-1235U/8GB/512G/W11)9999,Lifeismoney,"AVITA15.6吋i5筆電紫色(i5-1235U/8GB/512GB/W11)

現在pchome又特價這台12代i5


https://24h.pchome.com.tw/prod/DHAM8I-A900HV4I2

一樣殺到9999

跟以往不同的是,這次是紫色,我個人也覺得好看的多

而且另外有送USB hub 應該也值幾小幾百

和一隻糞鼠

不過10/31可以登記拿1000P (有150名額)

LINE導購目前有1% 99

再算個信用卡4% 400

大概8500左右

還滿香的

"
1251,[情報]蒂沐碟植萃洗護組500g3入$588+贈品,Lifeismoney,"【Timotei 蒂沐蝶】日本植萃洗護組500g(任選3入組)贈Medimix美肌皂125g*3，售價$588，
10/15快閃價，只有1天，用國泰世華小樹點1點換購

查過蝦的皮，1罐要$208，3罐就超過$588，加上贈品3塊肥皂，應該有省錢點，但我生性節
儉，蒂沐蝶有點小高貴，沒買過，不知這罐效果如何？

https://i.imgur.com/qVrhSAv.jpeg




"
1252,[情報] 漢堡王 雙人套餐 ,Lifeismoney,"博客來 每日一物

https://i.imgur.com/qGscbGE.jpeg

我自己覺得很便宜 等於一個套餐84元

https://i.imgur.com/4l2I8kU.jpeg

附上購買證明  


第一次在省版發文 請鞭小力點
"
1253,[情報] Whoscall 進階版一個月,Lifeismoney,"禮物代碼「 HamiPassGift 」


兌換步驟

一：下載 Whoscall 並登入。

二：打開瀏覽器輸入以下網址：
https//redeem.whoscall.com

三：登入 Whoscall 帳號，並輸入禮物代碼進行兌換，完成即可使用Whoscall 進階版一
個月。

https://i.imgur.com/6S5Nq0A.jpeg

"
1254,[情報] Google Play Point 5點*3,Lifeismoney,"點選Play Points進入

安裝：
寶石點消：神殿
寶石獵手遺忘的神殿
Kingdom Wars

安裝滿一天即可獲各得5點
https://i.imgur.com/P2raVro.jpeg
https://i.imgur.com/a732D7i.jpeg

"
1255,Re: [情報] Whoscall 進階版一個月,Lifeismoney,"如果你有在用中國信託APP，可以免費換Whoscall進階版一個月的序號。

優惠→領酷碰這邊，很多酷碰券基本上都是廢券，所以才會累積一堆次數都沒在換：
https://i.imgur.com/AMBZthD.jpeg
https://i.imgur.com/nQYfjK0.jpeg

不過換Whoscall進階版序號還不錯，一次可換一張：
https://i.imgur.com/TRKEz53.jpeg

現在換序號效期到明年一月底，所以可多換幾張，每月用一張，可用到明年二月：
https://i.imgur.com/R8eZcei.jpeg

※ 引述《shshen79 (D.G)》之銘言：
: 禮物代碼「 HamiPassGift 」
: 兌換步驟
: 一：下載 Whoscall 並登入。
: 二：打開瀏覽器輸入以下網址：
: https//redeem.whoscall.com
: 三：登入 Whoscall 帳號，並輸入禮物代碼進行兌換，完成即可使用Whoscall 進階版一
: 個月。
: https://i.imgur.com/6S5Nq0A.jpeg

"
1256,[情報] LINE POINT 15(TAIPEI12elve安卓下載註冊,Lifeismoney,"https://i.imgur.com/4PX3fn8.jpeg
LINE POINT任務牆
TAIPEI12elve
下載註冊(直接用google帳號註冊)
註冊會跳同意書跟位置相機權限
好了會跑更新
跑完看LINE POINT入點通知就可以關了
(有限10000名,額滿應該任務就消失)

剛剛10:20完成都還有點

"
1257,[情報] hoi好好生活十月活動整理,Lifeismoney,"看到幾個特力屋好好生活不錯的活動優惠簡短分享
1.滿1200折200折價券
https://i.imgur.com/jrBrLVj.jpeg
目前實測都還可以領
等於打了8折多

2.懶角落折扣商品
https://i.imgur.com/8PNw26x.jpeg
實測約6-8折

3.加一元多一樣
https://i.imgur.com/ZcGpFqd.jpeg
這應該是最划算了
幾乎快要等於買一送一
"
1258,[情報] momo麥當勞麥脆雞腿餐159元400元,Lifeismoney,"【麥當勞】10/9限搶!麥脆鷄腿2塊+大包薯條+中杯可樂(好禮即享券)【159元】
https://momo.dm/jNqZAY
https://i.imgur.com/mFGqwVr.jpeg
到今天早上都還可以買


【麥當勞】麥脆鷄腿x2+勁辣鷄腿堡+麥克鷄塊x6+大包薯條+中杯可樂x2(好禮即享券)【400
元】
https://momo.dm/fy77Yj
https://i.imgur.com/Tfr8da7.jpeg

"
1259,[情報] HOLA花蓮店閉店出清,Lifeismoney,"如題～
HOLA花蓮店要收起來了，出清到12/1
花蓮家樂福B1那間（也只有這間
好像原本要改到百貨內設點，但沒找到適合的
裡面折扣最低有到1折，大部分我看5折的比較多
https://i.imgur.com/wdj5VLx.jpeg

Btw 我前幾天趁放假也去逛了
分享幾個我覺得優惠蠻多的

平常習慣先看寢具，現在晚上也偏涼，冬天快到了可以順便看看
這組加大的天絲300織的兩用被組
印象之前買要5千多，現在買3千9多，算是可以買的價格
https://i.imgur.com/NoIwTcq.jpeg

枕頭我覺得不錯，也有出清價
我之前買差不多2千5，現在看只有1千7
智能選枕挑的服務是真的不錯，挑的枕頭躺起來很舒服
https://i.imgur.com/EReJUKk.jpeg

水壺這價格也還OK之前有買過一支蠻耐用的
這次也買了兩支湊包色，原價399 出清199
https://i.imgur.com/iFqPNJD.jpeg


家具有些價格應該也是可以入手
但就是看能不能接受別人坐過
我自己是沒有缺，不過也是有稍微逛一下

這張坐起來挺舒服的，上面是絨布，輪子嚕起來也很順XD
我是有點想買回家，但房間沒空間了
原價6400 出清3200
https://i.imgur.com/cKlgNz9.jpeg

這張沙發也很特別，可以直接在上面睡了
躺起來很舒服，看起來也沒汙損，有興趣和空間的我覺得也可以入手
原價49900 出清39920
https://i.imgur.com/1xgyN54.jpeg

沙發區的好像價差都差不多一萬上下
我看的時候還有蠻多張的，有些品牌的沙發都挺耐用的
目測也都沒什麼狀況，有想買的可以趁出清看一看
https://i.imgur.com/45S5A7g.jpeg


以上簡單分享
有些價格算起來還挺划算的
如果想買家具的可以趁人少的時候早點去看看
因為現在看沒毛病，過一陣子一堆人來看就不知道狀況了

"
1260,[情報] 亞洲航空全航線限時八折優惠,Lifeismoney,"
最近在查便宜機票的時候，發現了一個不錯的deal，趕快跟大家分享！

亞洲航空目前有全航線八折的限時優惠
剛好有想出國的朋友可以趁這波下手

稍微查了一下，發現一些熱門航線真的便宜到有點驚人：
1. 台北 - 大阪：這條線大家應該都很熟悉，去日本旅行一直是熱門選擇，這次優惠後票價真的很甜！來回基本上打完折只要六千出頭，根本比平常便宜好幾成。

2. 台北 - 吉隆坡：如果想去馬來西亞走走，吉隆坡的票價也很吸引人，八折後幾乎可以用四千多的價格飛一趟，超划算！

3. 台北 - 曼谷(廊曼機場)：去泰國曼谷的朋友也可以注意，這條線一直都是亞洲航空的重點航線，這次促銷後更是划算，來回票價直接少了一大筆。

優惠活動好像也不會持續太久，有出國需求的板友可以趕緊刷票
不然過了這波可能要等很久才能遇到這麼優惠的價格了，記得刷機票的時候要開無痕

"
